"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 04- 27","101.50","101.40","101.80","101.28","","0.04%"
"2023- 04- 26","101.47","101.82","101.89","101.01","","-0.39%"
"2023- 04- 25","101.86","101.26","101.95","101.20","","0.51%"
"2023- 04- 24","101.35","101.72","101.91","101.32","","-0.47%"
"2023- 04- 21","101.82","101.80","102.12","101.65","","-0.02%"
"2023- 04- 20","101.84","101.99","102.13","101.63","","-0.13%"
"2023- 04- 19","101.97","101.71","102.23","101.66","","0.22%"
"2023- 04- 18","101.75","102.10","102.14","101.64","","-0.35%"
"2023- 04- 17","102.10","101.58","102.23","101.53","","0.54%"
"2023- 04- 14","101.55","101.00","101.75","100.79","","0.54%"
"2023- 04- 13","101.01","101.47","101.60","100.85","","-0.48%"
"2023- 04- 12","101.50","102.13","102.16","101.45","","-0.69%"
"2023- 04- 11","102.20","102.52","102.51","102.01","","-0.36%"
"2023- 04- 10","102.58","102.10","102.81","101.99","","0.48%"
"2023- 04- 07","102.09","101.94","102.30","101.88","","0.27%"
"2023- 04- 06","101.82","101.83","102.14","101.75","","-0.03%"
"2023- 04- 05","101.85","101.52","101.99","101.42","","0.26%"
"2023- 04- 04","101.59","102.01","102.28","101.46","","-0.50%"
"2023- 04- 03","102.09","102.59","103.06","101.98","","-0.40%"
"2023- 03- 31","102.51","102.20","102.63","102.05","","0.35%"
"2023- 03- 30","102.14","102.62","102.78","102.07","","-0.48%"
"2023- 03- 29","102.64","102.49","102.79","102.37","","0.21%"
"2023- 03- 28","102.43","102.75","102.76","102.38","","-0.42%"
"2023- 03- 27","102.86","103.11","103.23","102.83","","-0.25%"
"2023- 03- 24","103.12","102.60","103.36","102.50","","0.57%"
"2023- 03- 23","102.53","102.50","102.64","101.92","","0.18%"
"2023- 03- 22","102.35","103.19","103.26","102.07","","-0.88%"
"2023- 03- 21","103.26","103.31","103.51","103.00","","-0.02%"
"2023- 03- 20","103.28","103.86","103.96","103.28","","-0.41%"
