"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 22","14,908.96","15,034.57","15,037.17","14,884.02","199.05M","-0.19%"
"2023- 08- 21","14,936.69","14,765.12","14,958.71","14,739.92","236.73M","1.65%"
"2023- 08- 18","14,694.84","14,589.71","14,743.57","14,558.71","256.36M","-0.14%"
"2023- 08- 17","14,715.81","14,943.82","14,948.91","14,698.29","239.69M","-1.08%"
"2023- 08- 16","14,876.47","15,022.33","15,075.22","14,874.02","211.58M","-1.07%"
"2023- 08- 15","15,037.65","15,172.39","15,192.61","15,014.61","202.63M","-1.10%"
"2023- 08- 14","15,205.58","14,989.53","15,205.58","14,972.25","219.49M","1.18%"
"2023- 08- 11","15,028.07","15,011.16","15,102.13","14,973.82","198.56M","-0.67%"
"2023- 08- 10","15,128.84","15,217.29","15,365.38","15,072.71","205.33M","0.18%"
"2023- 08- 09","15,101.71","15,288.04","15,288.04","15,078.58","232.48M","-1.12%"
"2023- 08- 08","15,273.05","15,276.38","15,294.89","15,148.32","239.25M","-0.87%"
"2023- 08- 07","15,407.85","15,354.45","15,410.59","15,261.25","228.69M","0.87%"
"2023- 08- 04","15,274.92","15,436.57","15,522.55","15,259.07","284.84M","-0.51%"
"2023- 08- 03","15,353.54","15,289.29","15,436.46","15,271.77","237.76M","-0.11%"
"2023- 08- 02","15,370.74","15,561.15","15,561.36","15,321.44","305.95M","-2.21%"
"2023- 08- 01","15,718.01","15,696.98","15,748.43","15,636.57","211.40M","-0.25%"
"2023- 07- 31","15,757.00","15,774.30","15,803.55","15,702.74","254.54M","0.04%"
"2023- 07- 28","15,750.93","15,630.17","15,788.48","15,617.75","295.90M","1.85%"
"2023- 07- 27","15,464.93","15,734.03","15,795.51","15,416.05","291.79M","-0.22%"
"2023- 07- 26","15,499.26","15,514.04","15,571.16","15,411.91","263.28M","-0.40%"
"2023- 07- 25","15,561.42","15,483.06","15,622.69","15,482.04","234.86M","0.73%"
"2023- 07- 24","15,448.02","15,475.15","15,504.67","15,374.66","220.80M","0.14%"
"2023- 07- 21","15,425.67","15,554.95","15,600.54","15,410.57","799.03M","-0.26%"
"2023- 07- 20","15,466.09","15,717.67","15,771.84","15,429.87","334.20M","-2.28%"
"2023- 07- 19","15,826.35","15,888.16","15,932.05","15,781.96","268.74M","-0.09%"
"2023- 07- 18","15,841.35","15,671.72","15,895.68","15,607.71","258.65M","0.82%"
"2023- 07- 17","15,713.28","15,608.28","15,745.67","15,576.51","237.03M","0.95%"
"2023- 07- 14","15,565.60","15,610.00","15,720.06","15,531.00","256.39M","-0.04%"
"2023- 07- 13","15,571.98","15,432.48","15,602.74","15,420.71","242.48M","1.73%"
"2023- 07- 12","15,307.23","15,279.35","15,364.09","15,209.71","287.61M","1.24%"
"2023- 07- 11","15,119.06","15,068.13","15,135.29","14,974.16","234.91M","0.49%"
"2023- 07- 10","15,045.64","15,031.95","15,066.43","14,924.64","271.07M","0.06%"
"2023- 07- 07","15,036.85","15,070.50","15,210.63","15,032.56","240.00M","-0.35%"
"2023- 07- 06","15,089.45","15,054.10","15,106.45","14,969.14","242.50M","-0.75%"
"2023- 07- 05","15,203.78","15,165.36","15,275.18","15,162.66","223.47M","-0.03%"
"2023- 07- 03","15,208.69","15,190.54","15,232.96","15,153.60","150.55M","0.19%"
"2023- 06- 30","15,179.21","15,085.24","15,213.75","15,081.57","317.60M","1.60%"
"2023- 06- 29","14,939.95","14,965.55","14,986.89","14,876.94","226.21M","-0.16%"
"2023- 06- 28","14,964.58","14,876.25","15,051.08","14,865.81","247.52M","0.12%"
"2023- 06- 27","14,945.91","14,751.57","14,972.32","14,726.75","269.00M","1.75%"
"2023- 06- 26","14,689.02","14,866.66","14,982.82","14,687.02","266.06M","-1.36%"
"2023- 06- 23","14,891.48","14,879.23","14,983.73","14,821.81","420.63M","-1.00%"
"2023- 06- 22","15,042.32","14,797.89","15,044.22","14,794.95","234.61M","1.18%"
"2023- 06- 21","14,867.45","15,019.01","15,038.90","14,826.02","308.96M","-1.35%"
"2023- 06- 20","15,070.15","15,036.48","15,127.42","14,946.72","291.16M","-0.09%"
"2023- 06- 16","15,083.92","15,272.65","15,284.65","15,073.45","771.26M","-0.67%"
"2023- 06- 15","15,185.48","14,949.70","15,246.62","14,930.12","321.05M","1.20%"
"2023- 06- 14","15,005.69","14,894.10","15,017.10","14,784.62","308.98M","0.70%"
"2023- 06- 13","14,900.85","14,911.26","14,931.83","14,770.14","275.48M","0.79%"
"2023- 06- 12","14,784.30","14,617.35","14,789.60","14,571.36","283.89M","1.76%"
"2023- 06- 09","14,528.36","14,574.24","14,672.85","14,487.48","258.23M","0.30%"
"2023- 06- 08","14,484.54","14,319.24","14,503.31","14,314.69","254.49M","1.27%"
"2023- 06- 07","14,303.29","14,573.27","14,647.91","14,283.88","334.57M","-1.75%"
"2023- 06- 06","14,558.09","14,526.10","14,593.50","14,476.99","249.04M","0.01%"
"2023- 06- 05","14,556.50","14,550.13","14,662.95","14,516.88","254.09M","0.07%"
"2023- 06- 02","14,546.64","14,517.08","14,595.81","14,442.15","273.86M","0.73%"
"2023- 06- 01","14,441.51","14,269.09","14,493.31","14,219.94","314.66M","1.31%"
"2023- 05- 31","14,254.09","14,293.56","14,375.38","14,216.16","615.28M","-0.70%"
"2023- 05- 30","14,354.99","14,465.59","14,520.17","14,301.08","307.60M","0.40%"
"2023- 05- 26","14,298.41","13,990.55","14,329.49","13,982.16","353.94M","2.58%"
"2023- 05- 25","13,938.53","13,920.89","13,986.87","13,812.18","343.01M","2.46%"
"2023- 05- 24","13,604.48","13,589.02","13,655.73","13,520.92","239.37M","-0.50%"
"2023- 05- 23","13,672.54","13,773.68","13,827.10","13,662.91","241.74M","-1.28%"
"2023- 05- 22","13,849.74","13,805.33","13,893.71","13,792.97","227.41M","0.34%"
"2023- 05- 19","13,803.49","13,842.69","13,874.42","13,763.90","266.50M","-0.23%"
"2023- 05- 18","13,834.62","13,608.95","13,844.76","13,606.81","276.88M","1.81%"
"2023- 05- 17","13,589.26","13,474.52","13,608.33","13,419.35","254.55M","1.22%"
"2023- 05- 16","13,426.01","13,385.37","13,498.44","13,384.77","209.97M","0.09%"
"2023- 05- 15","13,413.51","13,352.26","13,419.81","13,297.85","200.43M","0.55%"
"2023- 05- 12","13,340.17","13,407.02","13,427.42","13,256.56","223.44M","-0.37%"
"2023- 05- 11","13,389.78","13,376.85","13,411.70","13,306.08","245.64M","0.31%"
"2023- 05- 10","13,347.83","13,308.42","13,384.42","13,204.79","286.10M","1.11%"
"2023- 05- 09","13,201.11","13,228.64","13,254.81","13,193.88","232.39M","-0.68%"
"2023- 05- 08","13,291.64","13,247.09","13,302.43","13,193.08","211.96M","0.25%"
"2023- 05- 05","13,259.13","13,070.69","13,291.11","13,059.91","265.00M","2.13%"
"2023- 05- 04","12,982.48","13,014.08","13,064.02","12,938.45","245.78M","-0.37%"
"2023- 05- 03","13,030.21","13,123.10","13,231.71","13,026.04","257.60M","-0.64%"
"2023- 05- 02","13,113.66","13,225.48","13,241.53","13,046.79","249.11M","-0.89%"
"2023- 05- 01","13,231.47","13,229.11","13,287.47","13,186.40","211.62M","-0.11%"
"2023- 04- 28","13,245.99","13,139.35","13,247.39","13,096.93","300.70M","0.65%"
"2023- 04- 27","13,160.03","12,963.21","13,175.62","12,938.50","319.31M","2.76%"
"2023- 04- 26","12,806.49","12,866.64","12,929.62","12,783.42","292.22M","0.64%"
"2023- 04- 25","12,725.11","12,905.09","12,933.28","12,724.24","261.53M","-1.89%"
"2023- 04- 24","12,969.76","12,981.71","13,044.23","12,883.77","199.01M","-0.24%"
"2023- 04- 21","13,000.77","12,970.32","13,030.85","12,899.64","236.55M","0.11%"
"2023- 04- 20","12,985.98","12,962.29","13,107.92","12,933.80","261.52M","-0.78%"
"2023- 04- 19","13,088.72","12,992.51","13,128.25","12,988.20","196.77M","-0.02%"
"2023- 04- 18","13,091.79","13,180.31","13,196.18","13,044.21","198.42M","0.03%"
"2023- 04- 17","13,087.71","13,053.26","13,105.68","12,981.26","200.78M","0.06%"
"2023- 04- 14","13,079.52","13,044.69","13,152.28","12,962.51","207.40M","-0.23%"
"2023- 04- 13","13,109.39","12,922.90","13,124.41","12,920.02","230.79M","2.03%"
"2023- 04- 12","12,848.35","13,043.97","13,071.98","12,833.31","236.48M","-0.89%"
"2023- 04- 11","12,964.16","13,040.49","13,049.56","12,947.66","206.13M","-0.67%"
"2023- 04- 10","13,051.23","12,936.52","13,051.85","12,861.52","197.34M","-0.09%"
"2023- 04- 06","13,062.60","12,892.90","13,078.10","12,846.03","229.51M","0.74%"
"2023- 04- 05","12,967.20","13,056.79","13,065.27","12,894.44","247.24M","-1.01%"
"2023- 04- 04","13,100.08","13,148.35","13,204.08","13,049.98","227.66M","-0.37%"
"2023- 04- 03","13,148.35","13,084.10","13,157.47","13,036.55","247.21M","-0.25%"
"2023- 03- 31","13,181.35","12,968.96","13,188.83","12,968.00","317.69M","1.68%"
"2023- 03- 30","12,963.14","12,934.99","12,987.97","12,894.14","222.67M","0.91%"
"2023- 03- 29","12,846.03","12,768.14","12,867.32","12,734.68","269.55M","1.87%"
"2023- 03- 28","12,610.57","12,654.91","12,654.91","12,517.87","203.48M","-0.49%"
"2023- 03- 27","12,673.07","12,797.90","12,839.42","12,647.94","224.95M","-0.74%"
"2023- 03- 24","12,767.05","12,700.51","12,770.28","12,608.15","260.67M","0.30%"
"2023- 03- 23","12,729.23","12,735.60","12,900.10","12,611.67","297.18M","1.29%"
"2023- 03- 22","12,567.15","12,742.41","12,943.62","12,563.78","279.13M","-1.37%"
